user,mental,physical,temporal,performance,effort,frustration,type
1,1,1,1,1,1,1,A
1,1,1,1,5,1,8,B
1,1,1,1,2,1,1,C
1,1,1,1,3,2,2,D
2,8,8,9,2,11,3,A
2,13,7,9,5,14,7,B
2,8,7,10,3,13,4,C
2,11,7,9,3,12,4,D
3,11,4,8,10,7,5,A
3,11,14,14,17,11,14,B
3,7,1,10,5,6,1,C
3,13,7,13,16,13,10,D
4,6,8,10,4,7,11,A
4,10,10,11,3,13,10,B
4,13,13,15,6,12,16,C
4,13,10,10,4,17,7,D
5,6,6,7,9,9,8,A
5,1,1,2,1,1,1,B
5,8,8,6,10,10,9,C
5,1,1,1,1,1,1,D
6,1,1,1,1,1,1,A
6,1,1,2,1,1,2,B
6,3,3,3,1,2,4,C
6,1,1,1,1,1,2,D
7,1,1,1,1,1,1,A
7,2,2,2,1,2,2,B
7,3,2,2,2,2,2,C
7,2,2,1,1,2,2,D
8,1,1,1,2,2,1,A
8,7,7,12,5,11,5,B
8,3,4,2,3,3,3,C
8,13,9,2,3,3,4,D
9,8,3,7,11,8,14,A
9,16,11,16,19,17,15,B
9,11,11,9,9,10,13,C
9,10,10,9,13,13,14,D
10,2,2,6,2,5,2,A
10,11,1,2,6,3,10,B
10,7,12,4,5,11,14,C
10,5,1,5,2,4,2,D
11,4,10,14,7,10,4,A
11,6,10,11,10,9,11,B
11,6,10,12,10,13,6,C
11,5,12,10,14,12,15,D
12,1,1,1,1,1,1,A
12,1,1,1,1,1,1,B
12,3,4,4,3,2,3,C
12,2,1,1,1,2,1,D
13,3,3,3,3,2,3,A
13,4,3,4,4,2,3,B
13,3,4,3,4,3,3,C
13,2,2,2,2,2,1,D
15,2,8,3,4,4,5,A
15,6,6,4,9,9,9,B
15,2,10,6,7,5,8,C
15,4,7,3,4,6,6,D
16,1,1,2,2,2,1,A
16,4,4,6,5,4,5,B
16,2,4,2,2,3,4,C
16,3,4,4,4,3,3,D
17,6,5,4,4,5,5,A
17,10,5,8,8,7,10,B
17,15,10,12,12,15,15,C
17,6,5,5,5,7,7,D
