user	block	wpm	wer	delete_per_word	keyboard_type
10	1	66.18	2.63	0.00	on
10	2	59.07	2.78	0.11	on
10	3	55.39	3.12	0.41	on
10	4	53.66	0.00	0.58	on
11	1	43.50	0.00	0.34	on
11	2	55.25	0.00	0.08	on
11	3	43.30	3.45	0.38	on
11	4	48.05	0.00	0.16	on
12	1	60.59	0.00	0.24	on
12	2	52.25	2.78	0.36	on
12	3	66.84	6.25	0.19	on
12	4	60.12	0.00	0.24	on
13	1	38.76	0.00	0.03	on
13	2	37.03	0.00	0.12	on
13	3	35.70	0.00	0.47	on
13	4	34.11	0.00	0.26	on
15	1	46.34	0.00	0.11	on
15	2	42.13	0.00	0.36	on
15	3	42.87	0.00	0.16	on
15	4	45.55	2.63	0.05	on
16	1	42.68	2.63	0.00	on
16	2	39.27	2.78	0.11	on
16	3	49.42	6.25	0.00	on
16	4	45.13	0.00	0.05	on
17	1	30.82	0.00	0.26	on
17	2	28.62	3.85	0.19	on
17	3	36.37	12.00	0.00	on
17	4	30.98	6.06	0.21	on
1	1	64.77	0.00	0.05	on
1	2	60.07	0.00	0.14	on
1	3	69.17	9.38	0.00	on
1	4	59.54	0.00	0.13	on
2	1	28.40	0.00	0.00	on
2	2	26.01	2.78	0.06	on
2	3	29.31	0.00	0.00	on
2	4	28.49	0.00	0.04	on
3	1	32.90	0.00	0.03	on
3	2	34.05	0.00	0.08	on
3	3	34.60	0.00	0.03	on
3	4	37.74	0.00	0.05	on
4	1	37.59	2.94	0.21	on
4	2	43.41	0.00	0.06	on
4	3	44.60	3.45	0.17	on
4	4	35.99	2.63	0.08	on
5	1	32.60	0.00	0.18	on
5	2	37.70	0.00	0.14	on
5	3	36.38	3.12	0.19	on
5	4	41.31	2.63	0.11	on
6	1	48.26	2.63	0.39	on
6	2	51.43	0.00	0.33	on
6	3	52.69	0.00	0.38	on
6	4	63.66	0.00	0.00	on
7	1	35.88	0.00	0.16	on
7	2	32.85	8.33	0.28	on
7	3	28.04	0.00	0.19	on
7	4	39.12	5.26	0.08	on
8	1	28.60	7.14	0.00	on
8	2	27.98	4.55	0.00	on
8	3	27.55	3.70	0.00	on
8	4	24.60	3.45	0.00	on
9	1	36.92	0.00	0.03	on
9	2	30.25	0.00	0.19	on
9	3	29.13	0.00	0.22	on
9	4	37.64	0.00	0.03	on
10	1	30.44	13.16	0.18	off
10	2	22.14	36.11	0.78	off
10	3	34.34	15.62	0.19	off
10	4	43.76	23.68	0.08	off
11	1	38.90	15.79	0.05	off
11	2	40.81	5.56	0.06	off
11	3	38.28	3.12	0.09	off
11	4	37.97	2.63	0.13	off
12	1	37.14	0.00	0.21	off
12	2	37.04	2.78	0.25	off
12	3	37.09	0.00	0.41	off
12	4	38.64	0.00	0.34	off
13	1	21.42	10.53	0.50	off
13	2	30.52	8.33	0.33	off
13	3	25.83	3.12	0.84	off
13	4	42.51	5.26	0.00	off
15	1	28.25	0.00	0.48	off
15	2	32.01	2.78	0.39	off
15	3	31.70	0.00	0.50	off
15	4	45.25	2.63	0.11	off
16	1	24.08	8.82	0.35	off
16	2	25.51	8.33	0.33	off
16	3	29.06	0.00	0.31	off
16	4	35.60	2.63	0.05	off
17	1	13.40	25.00	0.86	off
17	2	15.03	34.38	0.88	off
17	3	22.23	19.23	0.54	off
17	4	21.85	37.93	0.41	off
1	1	31.12	10.53	0.29	off
1	2	49.17	11.11	0.00	off
1	3	50.50	12.50	0.00	off
1	4	55.50	7.89	0.00	off
2	1	17.55	15.79	0.18	off
2	2	20.50	8.70	0.17	off
2	3	26.32	0.00	0.06	off
2	4	25.12	9.09	0.09	off
3	1	29.81	5.26	0.03	off
3	2	25.69	29.03	0.06	off
3	3	29.33	7.14	0.00	off
3	4	22.86	5.88	0.24	off
4	1	37.79	0.00	0.05	off
4	2	34.10	5.56	0.14	off
4	3	38.39	0.00	0.06	off
4	4	40.81	3.03	0.00	off
5	1	32.37	2.63	0.13	off
5	2	29.07	2.78	0.19	off
5	3	45.35	3.12	0.00	off
5	4	37.25	5.26	0.11	off
6	1	31.99	13.16	0.00	off
6	2	26.91	3.23	0.19	off
6	3	31.58	3.57	0.21	off
6	4	26.93	2.63	0.34	off
7	1	33.24	0.00	0.38	off
7	2	37.98	2.78	0.14	off
7	3	39.07	11.11	0.19	off
7	4	47.29	0.00	0.07	off
8	1	19.38	2.94	0.12	off
8	2	19.36	0.00	0.25	off
8	3	26.78	0.00	0.00	off
8	4	24.56	7.14	0.07	off
9	1	31.36	23.68	0.13	off
9	2	36.84	11.11	0.00	off
9	3	24.35	15.62	0.34	off
9	4	34.64	24.24	0.03	off
10	1	27.52	0.00	0.61	wordwise
10	2	33.78	8.33	0.53	wordwise
10	3	32.07	15.62	0.56	wordwise
10	4	34.16	7.89	0.42	wordwise
11	1	23.70	5.26	0.42	wordwise
