user	wpm	wer	delete_per_word	keyboard_type
10	58.5747000683	2.1335891813	0.2740771199	on
11	47.5248849693	0.8620689655	0.2406609195	on
12	59.9504026228	2.2569444444	0.2555738304	on
13	36.3982238002	0.0000000000	0.2208059211	on
15	44.2214197276	0.6578947368	0.1688139620	on
16	44.1276917111	2.9148391813	0.0409356725	on
17	31.6963130015	5.4766899767	0.1659220409	on
1	63.3876560436	2.3437500000	0.0807748538	on
2	28.0526694705	0.6944444444	0.0228174603	on
3	34.8231891886	0.0000000000	0.0493794856	on
4	40.3999302259	2.2552578200	0.1281997675	on
5	37.0005743909	1.4391447368	0.1539656433	on
6	54.0100242202	0.6578947368	0.2757675439	on
7	33.9709224374	3.3991228070	0.1755299708	on
8	27.1838363926	4.7100728135	0.0000000000	on
9	33.4855843761	0.0000000000	0.1177589472	on
10	32.6693979115	22.1445540936	0.3071089181	off
11	38.9923229761	6.7754020468	0.0833790205	off
12	37.4761928126	0.6944444444	0.3022203947	off
13	30.0699380086	6.8119517544	0.4192708333	off
15	34.3050850558	1.3523391813	0.3692276669	off
16	28.5636340782	4.9471104231	0.2628515222	off
17	18.1273359500	29.1342009284	0.6710993748	off
1	46.5727256436	10.5080409357	0.0723684211	off
2	22.3724092358	8.3940087373	0.1278831652	off
3	26.9252304269	11.8301565108	0.0815315090	off
4	37.7741533750	2.1464646465	0.0635051170	off
5	36.0092061646	3.4493786550	0.1078216374	off
6	29.3516394587	5.6466771768	0.1874848411	off
7	39.3932066990	3.4722222222	0.1920098978	off
8	22.5194735719	2.5210084034	0.1097689076	off
9	31.7998882851	18.6656864700	0.1264079944	off
10	31.8825367573	7.9632675439	0.5291483918	wordwise
11	27.1775275686	2.0733652313	0.3715983852	wordwise
12	26.2117352693	0.6944444444	0.8938687865	wordwise
13	30.2024527257	1.5165441176	0.3727434139	wordwise
15	26.3401208518	0.0000000000	0.4163602941	wordwise
16	27.7380934676	5.5464181287	0.4488304094	wordwise
17	24.1620837359	24.3401335507	0.3889597245	wordwise
1	52.5708272236	3.6092836257	0.0526315789	wordwise
2	26.1521534714	2.9898966165	0.1594271004	wordwise
3	24.6530594150	1.6281512605	0.1222756647	wordwise
4	30.7889835238	0.0000000000	0.1937512603	wordwise
5	37.0121431630	2.7549342105	0.2279331140	wordwise
6	31.9101048576	0.6578947368	0.4916392544	wordwise
7	27.2087944992	3.5361842105	0.2862298977	wordwise
8	23.9794744441	1.4520202020	0.1238702818	wordwise
9	29.4997182977	13.0756578947	0.1492598684	wordwise
10	38.1995717401	2.7046783626	0.2539747807	arbitrary
11	27.8829507141	6.2932667189	0.1770016980	arbitrary
12	32.5627004323	2.7549342105	0.2694627193	arbitrary
13	36.2474908128	0.6578947368	0.1903326023	arbitrary
15	31.2000902878	0.0000000000	0.2998488171	arbitrary
16	30.0509946302	8.9476949197	0.3062557137	arbitrary
17	23.2558884998	5.0865800866	0.4345292208	arbitrary
1	51.6099365135	2.6315789474	0.0394736842	arbitrary
2	22.3453319513	1.3888888889	0.3827515838	arbitrary
3	22.6784618108	3.1345725425	0.2595551378	arbitrary
4	31.6469124115	5.0501613228	0.0863203267	arbitrary
5	44.2080064011	2.3200757576	0.0583175505	arbitrary
6	38.1213675584	0.7812500000	0.1782213583	arbitrary
7	27.6104490358	1.5625000000	0.4723135965	arbitrary
8	18.3312578195	9.0158045977	0.1813740857	arbitrary
9	29.0907079336	16.0287360558	0.2139601455	arbitrary
